epoch,dir_12h_accuracy,dir_12h_loss,dir_1h_accuracy,dir_1h_loss,dir_24h_accuracy,dir_24h_loss,dir_6h_accuracy,dir_6h_loss,learning_rate,loss,mag_12h_loss,mag_1h_loss,mag_24h_loss,mag_6h_loss,val_dir_12h_accuracy,val_dir_12h_loss,val_dir_1h_accuracy,val_dir_1h_loss,val_dir_24h_accuracy,val_dir_24h_loss,val_dir_6h_accuracy,val_dir_6h_loss,val_loss,val_mag_12h_loss,val_mag_1h_loss,val_mag_24h_loss,val_mag_6h_loss
0,0.35906946659088135,1.355485439300537,0.3664868474006653,1.310770034790039,0.37896156311035156,1.2430408000946045,0.34086310863494873,1.392937183380127,0.0010000000474974513,8.642202377319336,1.918901801109314,0.8416497111320496,2.4721741676330566,1.503322958946228,0.33700788021087646,1.1043552160263062,0.30551180243492126,1.0673657655715942,0.3889763653278351,1.0831749439239502,0.3779527544975281,1.100092887878418,7.848679542541504,2.10841703414917,0.3403766453266144,3.1943793296813965,1.3095386028289795
1,0.3739042580127716,1.1818437576293945,0.356372207403183,1.1655797958374023,0.38975051045417786,1.1147232055664062,0.34996628761291504,1.2001265287399292,0.0010000000474974513,7.7474751472473145,1.7767139673233032,0.6694849133491516,2.3858602046966553,1.3429515361785889,0.28346458077430725,1.1116071939468384,0.6362204551696777,1.0322635173797607,0.4881889820098877,1.06747305393219,0.3889763653278351,1.0909559726715088,7.789210319519043,2.102022647857666,0.3383696377277374,3.1872801780700684,1.3105251789093018
2,0.39885368943214417,1.1338335275650024,0.3951449692249298,1.1427661180496216,0.43223196268081665,1.0659109354019165,0.37053269147872925,1.1732971668243408,0.0010000000474974513,7.530434608459473,1.7433736324310303,0.6565536856651306,2.3314554691314697,1.3340256214141846,0.33228346705436707,1.114830732345581,0.5779527425765991,1.0171312093734741,0.4425196945667267,1.081825613975525,0.3811023533344269,1.0903880596160889,7.80905294418335,2.1170525550842285,0.34164753556251526,3.195518970489502,1.3166123628616333
3,0.39919084310531616,1.0986659526824951,0.42414024472236633,1.1117889881134033,0.44470667839050293,1.0448975563049316,0.38873904943466187,1.119401216506958,0.0010000000474974513,7.306312084197998,1.6981868743896484,0.6384596228599548,2.270030975341797,1.3389720916748047,0.33070865273475647,1.1233174800872803,0.5952755808830261,0.9744952917098999,0.4362204670906067,1.0965672731399536,0.36692914366722107,1.0943998098373413,7.831883430480957,2.1380560398101807,0.34068721532821655,3.25359845161438,1.3126300573349
4,0.41267701983451843,1.0864533185958862,0.4076196849346161,1.104025959968567,0.47572487592697144,1.0178027153015137,0.41031691431999207,1.1008785963058472,0.0010000000474974513,7.221311569213867,1.7248843908309937,0.6139591336250305,2.2533552646636963,1.2955782413482666,0.3653543293476105,1.1624723672866821,0.5181102156639099,1.0213745832443237,0.4015747904777527,1.1501373052597046,0.37952756881713867,1.1025354862213135,8.056376457214355,2.1655428409576416,0.36048394441604614,3.3234126567840576,1.3436377048492432
5,0.43223196268081665,1.0661920309066772,0.43155765533447266,1.0898648500442505,0.504720151424408,0.9715623259544373,0.4258260428905487,1.0776504278182983,0.0010000000474974513,7.0515851974487305,1.6306004524230957,0.5971607565879822,2.131263494491577,1.2711814641952515,0.28976377844810486,1.1689074039459229,0.5574803352355957,0.9963561296463013,0.4204724431037903,1.1865546703338623,0.3984251916408539,1.121229648590088,8.160051345825195,2.1914522647857666,0.3516980707645416,3.424423933029175,1.3565696477890015
6,0.4484153687953949,1.05634605884552,0.4035738408565521,1.0949467420578003,0.5124747157096863,0.9530308246612549,0.42009440064430237,1.0872175693511963,0.0010000000474974513,6.937187671661377,1.5768495798110962,0.6025050282478333,2.046095848083496,1.2236113548278809,0.28346458077430725,1.2932389974594116,0.5653543472290039,0.9479671716690063,0.4236220419406891,1.3138988018035889,0.4015747904777527,1.1683307886123657,8.600835800170898,2.2736873626708984,0.39536669850349426,3.6249728202819824,1.405796766281128
7,0.47302764654159546,1.0346022844314575,0.4177343249320984,1.070663332939148,0.5330411195755005,0.9520319104194641,0.43358057737350464,1.0901894569396973,0.0010000000474974513,6.8576459884643555,1.5477712154388428,0.5973973870277405,2.0600645542144775,1.2496572732925415,0.32283464074134827,1.2071932554244995,0.5070866346359253,1.0258134603500366,0.4409448802471161,1.1751118898391724,0.3779527544975281,1.1237776279449463,8.186866760253906,2.2012805938720703,0.36476296186447144,3.3392882347106934,1.3577359914779663
8,0.4669588804244995,1.003434658050537,0.3961564302444458,1.0724738836288452,0.5431557893753052,0.8915835618972778,0.4497639834880829,1.0631484985351562,0.0010000000474974513,6.6818342208862305,1.5091129541397095,0.5921552777290344,1.946326732635498,1.202304720878601,0.29133859276771545,1.2471076250076294,0.5889763832092285,0.9808378219604492,0.32913386821746826,1.2669769525527954,0.4094488322734833,1.137182354927063,8.422675132751465,2.229487180709839,0.3805925250053406,3.5665526390075684,1.355756402015686
9,0.47606202960014343,0.9785972833633423,0.4076196849346161,1.075814962387085,0.5616992712020874,0.8844859600067139,0.44369521737098694,1.0637004375457764,0.0005000000237487257,6.570642471313477,1.476158618927002,0.5993048548698425,1.8871930837631226,1.2135201692581177,0.24566929042339325,1.2221249341964722,0.5007873773574829,1.0312765836715698,0.3606299161911011,1.188323736190796,0.3952755928039551,1.1253597736358643,8.270309448242188,2.212191343307495,0.38109466433525085,3.415098190307617,1.3514821529388428
10,0.4777477979660034,0.9573636054992676,0.4140256345272064,1.0472239255905151,0.5657451152801514,0.8488138318061829,0.4571813941001892,1.0325244665145874,0.0005000000237487257,6.426243305206299,1.4142190217971802,0.5787490010261536,1.8389250040054321,1.1656285524368286,0.28818896412849426,1.1897850036621094,0.5259842276573181,1.0495922565460205,0.4141732156276703,1.1655151844024658,0.4015747904777527,1.1348991394042969,8.216055870056152,2.232638359069824,0.36496204137802124,3.335221767425537,1.372758150100708
