date,ensemble_ret
2024-06-07,0.0
2024-06-08,-0.008167118983036506
2024-06-09,0.004388835245308925
2024-06-10,-0.010503520879358637
2024-06-11,-0.033434476114252674
2024-06-12,0.023120445388952544
2024-06-13,-0.022141161623016693
2024-06-14,-0.00971078655208879
2024-06-15,0.011431027217721261
2024-06-16,0.006424027829006876
2024-06-17,-0.022269441889934134
2024-06-18,-0.019374411301022382
2024-06-19,0.005061767241765205
2024-06-20,-0.0005682672736708683
2024-06-21,-0.001378636890464915
2024-06-22,-0.0017648548371128746
2024-06-23,-0.007727980113382273
2024-06-24,-0.00971633171447776
2024-06-25,0.009317212557828174
2024-06-26,-0.0046611817318913855
2024-06-27,0.009213751105005923
2024-06-28,-0.011933444853406996
2024-06-29,0.0001634556287877675
2024-06-30,0.011260262156354508
2024-07-01,-0.0009516017023742173
2024-07-02,0.0023721821443503655
2024-07-03,-0.020301142529200268
2024-07-04,-0.027832091407705185
2024-07-05,-0.0029202833743909853
2024-07-06,0.01684759879467488
2024-07-07,-0.020582590059883974
2024-07-08,0.01211288914770947
2024-07-09,0.007289624554893929
2024-07-10,0.002086285284916867
2024-07-11,-0.0017993900738534963
2024-07-12,0.006820409692423583
2024-07-13,0.007503235556215067
2024-07-14,0.007949636053960145
2024-07-15,0.014093306459555796
2024-07-16,0.0044649393096320555
2024-07-17,0.0003764393237787291
2024-07-18,-0.008145482893430327
2024-07-19,0.008566915609522146
2024-07-20,0.004688015108883607
2024-07-21,0.014414493422822538
2024-07-22,-0.020580968616018165
2024-07-23,-0.011367276326388419
2024-07-24,-0.006023552544169089
2024-07-25,-0.00768231196893084
2024-07-26,0.01646423887392788
2024-07-27,-0.0028657745605576864
2024-07-28,-0.0045596113586552755
2024-07-29,-0.00015017807914333368
2024-07-30,-0.0024698012243813076
2024-07-31,-0.007178331563977537
2024-08-01,-0.006338054875216862
2024-08-02,-0.024023810961236736
2024-08-03,-0.011217497233937126
2024-08-04,-0.017580758812676726
2024-08-05,-0.01974496198640276
2024-08-06,0.016135175806612206
2024-08-07,0.00872446200810283
2024-08-08,0.029226403791146417
2024-08-09,-0.0007616906887238973
2024-08-10,0.0021624039793308016
2024-08-11,-0.01647346621537758
2024-08-12,0.012198270889330246
2024-08-13,0.0024792522139183894
2024-08-14,-0.004088367309802603
2024-08-15,-0.003041290805338066
2024-08-16,0.0014969543047376745
2024-08-17,0.005755234926560594
2024-08-18,-0.004062341292760115
2024-08-19,0.008944853915515211
2024-08-20,0.009513710426696749
2024-08-21,-0.00034262037725404926
2024-08-22,0.0023051567010169477
2024-08-23,0.012509145637363306
2024-08-24,0.0013628523498162124
2024-08-25,-0.010677062401165404
2024-08-26,-0.023951929305168363
2024-08-27,-0.01611106510488877
2024-08-28,-0.00565864788512121
2024-08-29,-0.0017395438346960623
