date,equity
2024-06-07,1.0
2024-06-08,0.9938636038899097
2024-06-09,0.9993705248594906
2024-06-10,0.9872927544822527
2024-06-11,0.9659756899894035
2024-06-12,0.9811063925036722
2024-06-13,0.9597484661904078
2024-06-14,0.9553206048685196
2024-06-15,0.9576759988229117
2024-06-16,0.9594087156883176
2024-06-17,0.9331975288324974
2024-06-18,0.9088762705129647
2024-06-19,0.9147157538143206
2024-06-20,0.9130556268535629
2024-06-21,0.9068892380527956
2024-06-22,0.9118120242033724
2024-06-23,0.8974622223733782
2024-06-24,0.9016562510449572
2024-06-25,0.9153718234059441
2024-06-26,0.9061632692509894
2024-06-27,0.9046167001101881
2024-06-28,0.9042096225951386
2024-06-29,0.9042096225951386
2024-06-30,0.9042096225951386
2024-07-01,0.9042096225951386
2024-07-02,0.9042096225951386
2024-07-03,0.9042096225951386
2024-07-04,0.9042096225951386
2024-07-05,0.9042096225951386
2024-07-06,0.9042096225951386
2024-07-07,0.9042096225951386
2024-07-08,0.9042096225951386
2024-07-09,0.9042096225951386
2024-07-10,0.9042096225951386
2024-07-11,0.9042096225951386
2024-07-12,0.9042096225951386
2024-07-13,0.9042096225951386
2024-07-14,0.9042096225951386
2024-07-15,0.9042096225951386
2024-07-16,0.8939722970158304
2024-07-17,0.8833042415628481
2024-07-18,0.882204844543522
2024-07-19,0.9063698526607316
2024-07-20,0.9098765501083406
2024-07-21,0.9229061606785884
2024-07-22,0.887370649288345
2024-07-23,0.8642218747453504
2024-07-24,0.8384274853487714
2024-07-25,0.8168162873559349
2024-07-26,0.8482090095127208
2024-07-27,0.8498245620305586
2024-07-28,0.8292506180766995
2024-07-29,0.830098701896194
2024-07-30,0.8157835322771965
2024-07-31,0.796974222362846
2024-08-01,0.7830243632101062
2024-08-02,0.7413389954718401
2024-08-03,0.7112794607121381
2024-08-04,0.6719637166778943
2024-08-05,0.6120412705211973
2024-08-06,0.6456090779934835
2024-08-07,0.6453990484471118
2024-08-08,0.6515069715107776
2024-08-09,0.6504849997907607
2024-08-10,0.6520399440133681
2024-08-11,0.6492491115681747
2024-08-12,0.6491517242014394
2024-08-13,0.6491517242014394
2024-08-14,0.6491517242014394
2024-08-15,0.6491517242014394
2024-08-16,0.6491517242014394
2024-08-17,0.6491517242014394
2024-08-18,0.6491517242014394
2024-08-19,0.6491517242014394
2024-08-20,0.6491517242014394
2024-08-21,0.6491517242014394
2024-08-22,0.6491517242014394
2024-08-23,0.6491517242014394
2024-08-24,0.647862079000382
2024-08-25,0.6433051670126091
2024-08-26,0.6306814018283348
2024-08-27,0.6134617661055962
2024-08-28,0.6124586545248177
2024-08-29,0.6116167779622802
2024-08-30,0.6143835432429007
2024-08-31,0.610873150417349
2024-09-01,0.5956516330264494
2024-09-02,0.6065613526988943
2024-09-03,0.5943524588670598
2024-09-04,0.5956411043948276
2024-09-05,0.59537306589785
2024-09-06,0.59537306589785
2024-09-07,0.59537306589785
2024-09-08,0.59537306589785
2024-09-09,0.59537306589785
2024-09-10,0.59537306589785
2024-09-11,0.59537306589785
2024-09-12,0.59537306589785
2024-09-13,0.59537306589785
2024-09-14,0.5938915146132767
2024-09-15,0.5817568483801462
2024-09-16,0.5758815284054601
2024-09-17,0.5868437109027779
2024-09-18,0.6040241727235942
2024-09-19,0.617535960257433
2024-09-20,0.6238314106588716
2024-09-21,0.641449342855741
2024-09-22,0.622919972748089
2024-09-23,0.6367116755107741
2024-09-24,0.6600068028514549
2024-09-25,0.6513435805989861
2024-09-26,0.6720779404677275
2024-09-27,0.6831758871763464
2024-09-28,0.6756206736387131
2024-09-29,0.6696230474103432
2024-09-30,0.6429910444088981
2024-10-01,0.6091059376920696
2024-10-02,0.6058729953541697
2024-10-03,0.6077835258801834
2024-10-04,0.6216221490927673
2024-10-05,0.6157753498873694
2024-10-06,0.6268450348458353
2024-10-07,0.6209315000324945
2024-10-08,0.625614760379263
2024-10-09,0.6082395357987982
2024-10-10,0.6155148438080238
2024-10-11,0.6418919118650117
2024-10-12,0.6501685628387178
2024-10-13,0.6436073444255332
2024-10-14,0.6813288263034746
2024-10-15,0.6816419204995257
2024-10-16,0.6746295786398643
2024-10-17,0.6669334280051354
2024-10-18,0.6813399346890818
2024-10-19,0.6861015548218037
2024-10-20,0.710457585942883
2024-10-21,0.6850304608694247
2024-10-22,0.6809286075114683
2024-10-23,0.6758257264522505
2024-10-24,0.6777021756072925
2024-10-25,0.654672357975532
2024-10-26,0.6582125538968633
2024-10-27,0.6624723464940396
2024-10-28,0.6744828888017474
2024-10-29,0.6881943487515938
2024-10-30,0.6796772556958199
2024-10-31,0.6637309546197112
2024-11-01,0.6648398344121008
2024-11-02,0.6572869901311793
2024-11-03,0.6451871118169951
2024-11-04,0.6416217226690304
2024-11-05,0.6569021510411913
2024-11-06,0.7041026324299139
2024-11-07,0.7174412281164412
2024-11-08,0.730279760006418
2024-11-09,0.7481698792263397
2024-11-10,0.7871021515756773
2024-11-11,0.8494668816429272
2024-11-12,0.8460291293331804
2024-11-13,0.8279927645478992
2024-11-14,0.8121838752172609
2024-11-15,0.8603794773433696
2024-11-16,0.8818451111494017
2024-11-17,0.8850486328951208
2024-11-18,0.919756002939099
2024-11-19,0.9057807526861438
2024-11-20,0.8998681194984433
2024-11-21,0.9292049447276705
2024-11-22,1.037875562275238
2024-11-23,1.1361528349801464
2024-11-24,1.143475077736272
2024-11-25,1.078128427435857
2024-11-26,1.0633880044551747
2024-11-27,1.1415810333934717
2024-11-28,1.14649772843566
2024-11-29,1.1926384828711174
2024-11-30,1.2084994432683047
2024-12-01,1.2774812764671863
2024-12-02,1.4077956825233853
2024-12-03,1.4271944603224995
2024-12-04,1.4519276927324722
2024-12-05,1.422000369815524
2024-12-06,1.4892218751840542
2024-12-07,1.4717246810374693
2024-12-08,1.4765219086616157
2024-12-09,1.2749310946625347
2024-12-10,1.2531144069974895
2024-12-11,1.3536598694231152
2024-12-12,1.396114702931792
2024-12-13,1.4014668451094283
2024-12-14,1.354980516328708
2024-12-15,1.3867558475898325
2024-12-16,1.3515788810687919
2024-12-17,1.333048910693059
2024-12-18,1.197166177497812
2024-12-19,1.1064616435208459
2024-12-20,1.1304985944061452
2024-12-21,1.0877713455297404
2024-12-22,1.0954722470694023
2024-12-23,1.1591902788880404
2024-12-24,1.198201256898551
2024-12-25,1.1980882673343518
2024-12-26,1.1139206422729775
2024-12-27,1.095786049008562
2024-12-28,1.146279580157512
2024-12-29,1.085898916133334
2024-12-30,1.0743542311826753
2024-12-31,1.0576605905113998
2025-01-01,1.108674203360293
2025-01-02,1.1362608034825346
2025-01-03,1.196949640340636
2025-01-04,1.2040607238297023
2025-01-05,1.2014701605014912
2025-01-06,1.2087992671562713
2025-01-07,1.1715884950999202
2025-01-08,1.1587014231515183
2025-01-09,1.1442445013581453
2025-01-10,1.1638736577424458
2025-01-11,1.1630860021736602
2025-01-12,1.1511728694449175
2025-01-13,1.1393412201848867
2025-01-14,1.1402711424681062
2025-01-15,1.1561657117777162
2025-01-16,1.1467715026347813
2025-01-17,1.1537979500573377
2025-01-18,1.141323036479455
2025-01-19,1.1160090288268931
2025-01-20,1.1256641290598357
2025-01-21,1.1369686283389009
2025-01-22,1.1360251560757713
2025-01-23,1.1351689598883392
2025-01-24,1.133622279443929
2025-01-25,1.138347850738727
2025-01-26,1.1108071534002364
2025-01-27,1.1006429199536152
2025-01-28,1.07111117886066
2025-01-29,1.0892900538155086
2025-01-30,1.131758610506222
2025-01-31,1.1282807484867552
2025-02-01,1.0553118016622096
2025-02-02,0.9467660850494252
2025-02-03,0.9623721352547326
2025-02-04,0.9154970964215966
2025-02-05,0.9071331286331349
2025-02-06,0.8933683709025872
2025-02-07,0.8962430749384656
2025-02-08,0.899961652286585
2025-02-09,0.8953573265567945
2025-02-10,0.8990856155008725
2025-02-11,0.8989507526585474
2025-02-12,0.8989507526585474
2025-02-13,0.8989507526585474
2025-02-14,0.8989507526585474
2025-02-15,0.8989507526585474
2025-02-16,0.8989507526585474
2025-02-17,0.8989507526585474
2025-02-18,0.8989507526585474
2025-02-19,0.8989507526585474
2025-02-20,0.8989507526585474
2025-02-21,0.8989507526585474
2025-02-22,0.8989507526585474
2025-02-23,0.8989507526585474
2025-02-24,0.8989507526585474
2025-02-25,0.8989507526585474
2025-02-26,0.8989507526585474
2025-02-27,0.8989507526585474
2025-02-28,0.8989507526585474
2025-03-01,0.8989507526585474
2025-03-02,0.8989507526585474
2025-03-03,0.8989507526585474
2025-03-04,0.8989507526585474
2025-03-05,0.8989507526585474
