entry_time,exit_time,side,entry_price,exit_price,size,pnl_gross,commission,slippage,pnl_net,exit_reason,strategy
1742799600000,1742972400000,long,2.4445216499999995,2.4637675,750.0,5.90479020711486,0.75,0.3749999999999908,4.779790207114869,time_stop,trend_following
1742972400000,1742997600000,long,2.4662325,2.4075242071428575,500.2014895103557,-11.907221048199128,0.5002014895103557,0.25010074475512295,-12.657523282464608,stop_loss,trend_following
1742997600000,1743080400000,short,2.4075956,2.310383185714285,599.4523239261083,24.20431722754412,0.5994523239261084,0.29972616196296725,23.305138741655043,take_profit,trend_following
1743080400000,1743145200000,short,2.3242373,2.226226842857143,751.0183313889651,31.669593282105208,0.7510183313889651,0.37550916569449666,30.543065785021746,take_profit,trend_following
1743253200000,1743426000000,short,2.1373308,2.08033965,753.2527349479874,20.085210770991083,0.7532527349479874,0.37662636747401496,18.95533166856908,time_stop,trend_following
1743426000000,1743598800000,short,2.07826035,2.1176583,754.6178908680089,-14.305425176168793,0.7546178908680089,0.37730894543398896,-15.43735201247079,time_stop,trend_following
1743598800000,1743631200000,long,2.1176583,2.037387939285715,602.7227945002068,-22.84635633862818,0.6027227945002068,0.30136139725007755,-23.750440530378462,stop_loss,trend_following
1743638400000,1743811200000,short,2.0624682500000002,2.1356672999999997,501.05133725059505,-17.78281042046243,0.501051337250595,0.2505256686252699,-18.53438742633829,time_stop,trend_following
1743919200000,1743958800000,short,2.10924485,2.0338878642857146,500.0995653124156,17.867055974543728,0.5000995653124156,0.2500497826561418,17.116906626575172,take_profit,trend_following
1744027200000,1744200000000,short,1.7963014,1.7955973499999998,651.2095273651224,0.2552378279845078,0.6512095273651224,0.32560476368248753,-0.7215764630631021,time_stop,trend_following
1744207200000,1744218000000,short,1.8136927,1.9427494607142857,500.8617663659574,-35.639773558566894,0.5008617663659575,0.2504308831829292,-36.39106620811578,stop_loss,trend_following
1744372800000,1744462800000,long,2.0024007,2.115877246428571,499.01716996723326,28.279427317639744,0.4990171699672333,0.24950858498360523,27.530901562688907,take_profit,trend_following
1744477200000,1744650000000,long,2.12015955,2.15122385,650.4793934429302,9.530738864312982,0.6504793934429303,0.3252396967214142,8.555019774148636,time_stop,trend_following
1744718400000,1744747200000,long,2.1648819,2.1020198928571427,500.76399120590463,-14.540760672474258,0.5007639912059046,0.25038199560295704,-15.29190665928312,stop_loss,trend_following
1744754400000,1744927200000,short,2.0983503000000003,2.0634311999999997,499.97435767338015,8.320181140886177,0.49997435767338017,0.24998717883666557,7.570219604376131,time_stop,trend_following
1744934400000,1745107200000,short,2.0469760000000004,2.0857423500000003,650.4262309164299,-12.318000268145353,0.6504262309164299,0.3252131154582401,-13.293639614520023,time_stop,trend_following
1745132400000,1745193600000,short,2.06846525,2.0973338571428575,599.5567999721321,-8.367735314008414,0.5995567999721322,0.2997783999860903,-9.267070513966637,stop_loss,trend_following
1745193600000,1745334000000,long,2.1035512499999998,2.1826938214285714,598.9648023332958,22.535041469449887,0.5989648023332957,0.2994824011665823,21.63659426595001,take_profit,trend_following
1745334000000,1745391600000,long,2.1561775499999998,2.2527587714285713,750.2838251263911,33.60731042246851,0.7502838251263911,0.37514191256316504,32.481884684778954,take_profit,trend_following
1745413200000,1745478000000,long,2.2475232,2.148618010714286,752.663695190865,-33.1219474136407,0.7526636951908651,0.3763318475953708,-34.25094295642694,stop_loss,trend_following
1745478000000,1745499600000,short,2.14822535,2.219023242857143,650.0333013997279,-21.422793482104964,0.6500333013997279,0.3250166506997807,-22.39784343420447,stop_loss,trend_following
1745499600000,1745672400000,short,2.1806091500000004,2.19439665,748.3098339368235,-4.7313943607929465,0.7483098339368235,0.3741549169684228,-5.853859111698193,time_stop,trend_following
1745719200000,1745755200000,short,2.17121385,2.2173152464285715,498.5431141772672,-10.585568871265615,0.4985431141772672,0.24927155708865212,-11.333383542531534,stop_loss,trend_following
1745755200000,1745823600000,long,2.2160074499999998,2.3122789964285713,597.5418214133182,25.959423197428983,0.5975418214133182,0.2987709107065806,25.063110465309084,take_profit,trend_following
1745827200000,1745964000000,long,2.3270629499999997,2.238444503571428,748.7621944149399,-28.514115792828115,0.74876219441494,0.37438109720750246,-29.63725908445056,stop_loss,trend_following
1745964000000,1746018000000,short,2.2362813000000004,2.1415416642857146,597.1865942552199,25.29969749029092,0.5971865942552199,0.29859329712762606,24.403917598908073,take_profit,trend_following
1746025200000,1746093600000,short,2.15702095,2.2373466857142854,648.4995812917907,-24.14960595429962,0.6484995812917907,0.3242497906458641,-25.122355326237276,stop_loss,trend_following
1746093600000,1746266400000,long,2.237118,2.190075842857143,597.0687468210473,-12.555172240822577,0.5970687468210473,0.29853437341054895,-13.450775361054173,stop_loss,trend_following
1746266400000,1746324000000,short,2.1835077000000003,2.2187516785714285,596.2258761745748,-9.623676620708846,0.5962258761745748,0.29811293808724515,-10.518015434970666,stop_loss,trend_following
1746334800000,1746396000000,long,2.20900395,2.1598052714285716,496.2991847465885,-11.053517611686205,0.4962991847465885,0.24814959237331025,-11.797966388806104,stop_loss,trend_following
1746396000000,1746518400000,short,2.1613188,2.087514664285714,594.8213657614931,20.311800741481633,0.5948213657614931,0.29741068288069994,19.41956869283944,take_profit,trend_following
1746518400000,1746572400000,short,2.0959515,2.1560632071428567,645.6134214845442,-18.516136904778882,0.6456134214845443,0.32280671074220946,-19.484557037005636,stop_loss,trend_following
1746572400000,1746716400000,long,2.1560775,2.264510035714285,495.61920031134036,24.925470739546604,0.4956192003113404,0.24780960015568976,24.182041939079575,take_profit,trend_following
1746716400000,1746777600000,long,2.24482185,2.356485453571428,745.205282172418,37.0685572255255,0.7452052821724181,0.3726026410862237,35.95074930226686,take_profit,trend_following
1746874800000,1747047600000,long,2.38108995,2.4477755,747.8456979739251,20.944400560980622,0.7478456979739251,0.3739228489868831,19.822632014019813,time_stop,trend_following
1747047600000,1747054800000,long,2.4502244999999996,2.6091233571428574,749.2763069476287,48.591118429433436,0.7492763069476287,0.37463815347371837,47.46720396901209,take_profit,trend_following
