entry_time,exit_time,side,entry_price,exit_price,size,pnl_gross,commission,slippage,pnl_net,exit_reason,strategy
1746108000000,1746169200000,long,2.24502195,2.2009061392857148,650.0,-12.772826993644921,0.65,0.3249999999999148,-13.747826993644836,stop_loss,volatility_breakout
1748131200000,1748210400000,short,2.30454715,2.338886716071428,998.5602173006355,-14.879333043064339,0.9985602173006355,0.49928010865022654,-16.3771733690152,stop_loss,volatility_breakout
1749362400000,1749380400000,long,2.2061025,2.2400794000000004,697.7758507594027,10.746672153114991,0.6977758507594027,0.34888792537960606,9.700008376975983,take_profit,volatility_breakout
1749754800000,1749772800000,short,2.20259815,2.1462976124999997,648.5198636765066,16.576794502626022,0.6485198636765066,0.3242599318381905,15.604014707111325,take_profit,volatility_breakout
1750428000000,1750438800000,short,2.1343323000000005,2.0868929249999995,849.3356541771236,18.878012856470278,0.8493356541771236,0.4246678270884376,17.604009375204715,take_profit,volatility_breakout
1751234400000,1751256000000,long,2.2149069,2.1865990107142856,850.759801443411,-10.873239984938566,0.850759801443411,0.42537990072163356,-12.149379687103611,stop_loss,volatility_breakout
1754402400000,1754488800000,short,2.9753116,2.9869927499999998,999.5938701022171,-3.9244312883881878,0.9995938701022171,0.49979693505101136,-5.423822093541417,time_stop,volatility_breakout
1754881200000,1754917200000,long,3.2669326499999998,3.1924351267857145,499.4757642529263,-11.389799340493063,0.4994757642529263,0.24973788212644898,-12.139012986872439,stop_loss,volatility_breakout
1756998000000,1757073600000,short,2.8089948000000002,2.8638669321428574,798.1501437045922,-15.591413752420896,0.7981501437045923,0.39907507185226065,-16.788638967977747,stop_loss,volatility_breakout
1758132000000,1758146400000,short,2.9963011,3.0552554357142854,995.929000719572,-19.59560494638347,0.9959290007195719,0.49796450035977324,-21.089498447462816,stop_loss,volatility_breakout
1759942800000,1759968000000,long,2.9207596499999995,2.865348751785714,645.9182976835899,-12.253974080917569,0.6459182976835899,0.3229591488417995,-13.222851527442959,stop_loss,volatility_breakout
1760536800000,1760605200000,short,2.4637675,2.3647567874999997,793.8668647937928,31.90289826997666,0.7938668647937929,0.39693343239681367,30.712097972786054,take_profit,volatility_breakout
1760626800000,1760684400000,short,2.3542223,2.2376932874999995,846.0265934875843,41.876522657969694,0.8460265934875842,0.4230132967437012,40.607482767738404,take_profit,volatility_breakout
1762531200000,1762617600000,long,2.26503195,2.26356765,999.3015497204653,-0.6460294121924155,0.9993015497204654,0.4996507748601366,-2.1449817367730173,time_stop,volatility_breakout
1762700400000,1762732800000,long,2.3156572499999997,2.3975256375,849.1390531830435,30.0206971681032,0.8491390531830435,0.4245695265915103,28.746988588328644,take_profit,volatility_breakout
1763240400000,1763326800000,short,2.2260864,2.1983986499999997,701.2438344417313,8.721972326439861,0.7012438344417313,0.3506219172208235,7.670106574777306,time_stop,volatility_breakout
1763949600000,1764003600000,long,2.0928459,2.1911288875,651.6079652025867,30.60042667207671,0.6516079652025867,0.3258039826012839,29.623014724272842,take_profit,volatility_breakout
1764428400000,1764514800000,long,2.2197093,2.1955017000000003,653.4911066419263,-7.126812197049769,0.6534911066419263,0.32674555332089605,-8.107048857012591,time_stop,volatility_breakout
1765076400000,1765090800000,long,2.06953425,2.036177830357143,652.9216715442886,-10.52368631731842,0.6529216715442887,0.32646083577204504,-11.503068824634754,stop_loss,volatility_breakout
1765486800000,1765551600000,long,2.04272085,1.9933813821428574,501.6396401246438,-12.116502800565401,0.5016396401246438,0.2508198200622823,-12.868962260752328,stop_loss,volatility_breakout
1765720800000,1765753200000,short,1.9937026500000001,1.9628309249999998,500.9711100295999,7.757346533987265,0.5009711100295999,0.2504855550147771,7.005889868942889,take_profit,volatility_breakout
1766322000000,1766361600000,short,1.8982504,1.9340951357142857,852.2038051448274,-16.092197409849074,0.8522038051448274,0.426101902572366,-17.37050311756627,stop_loss,volatility_breakout
1766872800000,1766959200000,long,1.8631311,1.8677656500000002,850.6548750563968,2.116009201495711,0.8506548750563968,0.42532743752813545,0.8400268889111786,time_stop,volatility_breakout
1767193200000,1767204000000,short,1.8584703,1.8334912875,700.5385649109437,9.415679965207154,0.7005385649109437,0.3502692824554512,8.36487211784076,take_profit,volatility_breakout
1769184000000,1769270400000,long,1.93746825,1.9139425500000002,701.0750682596488,-8.512801039891029,0.7010750682596488,0.35053753412975275,-9.56441364228043,time_stop,volatility_breakout
1770555600000,1770566400000,long,1.4626309499999999,1.4152277464285714,700.356484049911,-22.698234975807004,0.700356484049911,0.3501782420249709,-23.748769701881887,stop_loss,volatility_breakout
1771437600000,1771506000000,short,1.4403794500000002,1.3913703375,648.7418277014032,22.073531538702433,0.6487418277014032,0.3243709138506257,21.100418797150404,take_profit,volatility_breakout
1772197200000,1772258400000,short,1.3701146000000002,1.3254123749999998,700.0766626047571,22.841143718202282,0.7000766626047571,0.35003833130231615,21.79102872429521,take_profit,volatility_breakout
