date,ensemble_raw_ret,ensemble_capped_ret,exposure_scalar
2024-06-07,0.0,0.0,1.0
2024-06-08,-0.003951408191588187,-0.003951408191588187,1.0
2024-06-09,0.0018933147378929337,0.0018933147378929337,1.0
2024-06-10,-0.006032131584964365,-0.006032131584964365,1.0
2024-06-11,-0.026808582909647567,-0.026808582909647567,1.0
2024-06-12,0.016833327019344032,0.016833327019344032,1.0
2024-06-13,-0.013370478829091911,-0.013370478829091911,1.0
2024-06-14,-0.003418800557642239,-0.003418800557642239,1.0
2024-06-15,0.0098189986404021,0.0098189986404021,1.0
2024-06-16,0.005806461207575923,0.005806461207575923,1.0
2024-06-17,-0.017013829861388958,-0.011534300130963045,0.677936727058667
2024-06-18,-0.01216313933814094,-0.008049355737118949,0.6617827448443291
2024-06-19,0.002694213711409538,0.0018203674365208679,0.6756581442711543
2024-06-20,-0.0014901373986246915,-0.001034679331624671,0.694351629976953
2024-06-21,-0.0012388854912791514,-0.0008916727925602615,0.7197378602275888
2024-06-22,-0.0009849447121993316,-0.0007328501654969426,0.744052083756585
2024-06-23,-0.003883020764694632,-0.002979711854213098,0.7673695390211049
2024-06-24,-0.005889132021923478,-0.004657398777984474,0.7908463863004549
2024-06-25,0.005209019611859923,0.004229938269553746,0.8120411487649231
2024-06-26,-0.003007985257988118,-0.0024600314231330617,0.8178336036056394
2024-06-27,0.005422275837847748,0.004549686701668634,0.8390732669687514
2024-06-28,-0.007525766976143811,-0.0062111870508304015,0.8253227970676554
2024-06-29,7.241221463760341e-05,5.9404330731583676e-05,0.8203634017945809
2024-06-30,0.0068516995871152455,0.00564215552651872,0.8234680249450668
2024-07-01,-0.0004366053794109519,-0.000352275576070472,0.8068512040455071
2024-07-02,0.0014091620831652015,0.0013956998967103633,0.9904466728024643
2024-07-03,-0.011535961288182657,-0.011535961288182657,1.0
2024-07-04,-0.010724443722889741,-0.010724443722889741,1.0
2024-07-05,-0.0013467439284545431,-0.0013467439284545431,1.0
2024-07-06,0.0037335346420440865,0.0037335346420440865,1.0
2024-07-07,-0.007722410484109428,-0.007722410484109428,1.0
2024-07-08,0.002847279602463095,0.002847279602463095,1.0
2024-07-09,0.002796989019473097,0.002796989019473097,1.0
2024-07-10,0.0014230415246556955,0.0014230415246556955,1.0
2024-07-11,-9.93908024719085e-05,-9.93908024719085e-05,1.0
2024-07-12,0.0033700751423397794,0.0033700751423397794,1.0
2024-07-13,0.0019335953228331445,0.0019335953228331445,1.0
2024-07-14,0.006011613683392889,0.006011613683392889,1.0
2024-07-15,0.01008908244235805,0.01008908244235805,1.0
2024-07-16,0.003885884098814716,0.003885884098814716,1.0
2024-07-17,0.002799966457093193,0.002799966457093193,1.0
2024-07-18,-0.009159016366195228,-0.009159016366195228,1.0
2024-07-19,0.006018043485392456,0.006018043485392456,1.0
2024-07-20,0.005521854992276507,0.005521854992276507,1.0
2024-07-21,0.015733639508459154,0.015733639508459154,1.0
2024-07-22,-0.024603549547208895,-0.024603549547208895,1.0
2024-07-23,-0.0149340712704916,-0.013446093801741351,0.9003635752234316
2024-07-24,-0.006366754487075309,-0.00557047008526719,0.874930876724617
